Country Name,Country Code,Series Name,Series Code,1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013]
India,IND,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,77.12007,..,..,..,..,..,..,..,..,..,83.85499,83.79816,83.6246,88.46232,..,..,..,96.78945,96.84171,95.53715,96.12032,95.71761,96.98764,97.73768
India,IND,Children out of school (% of primary school age),SE.PRM.UNER.ZS,..,20.93145943,..,..,..,..,..,..,..,..,..,16.38816071,11.85628986,13.44491959,8.487660408,..,..,..,0.919089973,0.393489987,1.319959998,0.860800028,1.318210006,1.232499957,0.425390005
India,IND,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",SL.FAM.WORK.ZS,..,..,18.62230948,18.65455969,18.66323575,18.67395261,18.64311269,18.59321416,18.5089188,18.40883074,18.23452798,18.02062374,18.09844104,18.17589124,18.23202877,18.2488995,18.21004675,18.14337381,18.01264495,17.86349858,17.71520758,17.51474343,17.49849171,17.4416659,17.14436874
India,IND,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..,..,..,..,..,56.834,..,..,..,..,..,55.638,..,..,..,..,57.95,..,..,..,..,53.027,..,51.702,..
India,IND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.947343332,5.533454561,1.056831435,5.48239602,4.750776218,6.65892407,7.574491838,7.549522249,4.04982085,6.184415822,8.845755559,3.840991157,4.823966266,3.803975321,7.860381476,7.922936612,7.923430621,8.060732572,7.660815067,3.086698059,7.861888833,8.497584702,5.241316199,5.456387552,6.386106401
India,IND,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.2,..,..,..,..,29.8,..,21.9,..,..
India,IND,"Primary education, pupils",SE.PRM.ENRL,95739976,97318112,99118320,101577088,105370216,108200536,109043664,109734288,110390408,109412904,110985880,113612544,113826976,115194576,125568600,..,..,..,137742640,139317984,138368128,138413840,135316946,139869904,132043356
India,IND,"School enrollment, primary (% net)",SE.PRM.NENR,..,77.12007,..,..,..,..,..,..,..,..,..,79.50755,79.37586,78.99802,83.57377,..,..,..,91.12498,90.8729,90.65366,90.95531,90.37191,91.57155,92.25734
India,IND,"School enrollment, secondary (% gross)",SE.SEC.ENRR,37.29093933,..,..,..,45.89585114,46.36143112,46.20238876,46.27460098,46.79254913,..,43.66833115,45.42105103,48.07812881,49.29732132,51.90280914,53.65830994,56.32798004,57.22407913,59.58998108,62.6794281,61.80022812,65.35134888,68.59101105,70.3243866,69.95680237
India,IND,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,..,..,84.13914763,84.12863115,84.12824375,84.09641817,84.06387863,84.00705389,83.96333816,83.91077626,83.85350236,83.72174262,83.6955002,83.63771689,83.5387498,83.39775627,83.25464723,83.06731625,82.89188379,82.7445859,82.53376203,82.31228542,81.01324013,79.64874746,78.56031128
